Year,Elevation,SP,CP
2002.0,1000.0,63.79855945131466,73.64872355260057
2002.0,1100.0,65.51470389232722,75.27356720444797
2002.0,1200.0,73.27650891614907,76.08750090240973
2002.0,1300.0,80.7288111036878,77.2890674732611
2002.0,1400.0,85.83501489802008,78.27735934743711
2002.0,1500.0,89.51307476613646,80.11219112906015
2002.0,1600.0,92.44133964932085,81.06093465017834
2002.0,1700.0,94.4350780729352,82.59753069433948
2002.0,1800.0,97.05105935250332,85.4029207044004
2002.0,1900.0,98.44832189826441,87.32863768628742
2002.0,2000.0,98.55668558550481,89.46513319432381
2002.0,2100.0,98.73968941397187,89.58006303639496
2002.0,2200.0,98.57131246740722,87.12967244890925
2002.0,2300.0,98.33389544688028,80.54336067849276
2002.0,2400.0,98.1218398497377,71.81138497587743
2002.0,2500.0,96.11226797324038,64.91662813705881
2002.0,2600.0,98.80555188367482,61.97908821223811
2002.0,2700.0,99.05162955792193,59.3998814321199
2003.0,0.0,7.402183919820992,27.784157342460812
2003.0,100.0,12.568285978975977,41.65790967435207
2003.0,200.0,18.039595120597635,48.47831264423346
2003.0,300.0,24.104554844740658,54.241083678121825
2003.0,400.0,29.5571121544538,58.07378518609774
2003.0,500.0,36.99865754170612,63.11226303274506
2003.0,600.0,44.34308047000842,64.5064602752407
2003.0,700.0,49.8248612578384,64.70667493756063
2003.0,800.0,53.53174218358688,64.79615145239516
2003.0,900.0,59.97633298054456,66.03103932506012
2003.0,1000.0,61.935185210429964,66.93579451398443
2003.0,1100.0,64.57530748484905,68.62616719297174
2003.0,1200.0,72.69586940295393,70.28999719165498
2003.0,1300.0,80.33518119310294,72.00871362734883
2003.0,1400.0,85.37768377708228,73.31570314651219
2003.0,1500.0,88.98346115150053,75.99306542496228
2003.0,1600.0,92.12625704239288,76.9303688472504
2003.0,1700.0,94.21203017258713,78.44707805912508
2003.0,1800.0,96.60873490951815,81.39506878382853
2003.0,1900.0,97.70995297815416,83.8791405515557
2003.0,2000.0,97.42357342547847,86.30962999250673
2003.0,2100.0,97.20540407853743,86.66962586408445
2003.0,2200.0,97.37200909153522,82.67821380958604
2003.0,2300.0,96.79815416310154,70.3034400370426
2003.0,2400.0,95.9284526868024,63.26368628276733
2003.0,2500.0,92.27433336474137,60.65359232473999
2003.0,2600.0,96.61996034368802,57.350559986962296
2003.0,2700.0,98.57244272345919,54.2328722919899
2004.0,0.0,6.525340503001658,25.934040004905366
2004.0,100.0,10.973602963242223,39.11583084023092
2004.0,200.0,16.10908697153987,45.67860924845727
2004.0,300.0,21.43924446758764,51.2991431225408
2004.0,400.0,26.122242165315715,54.92800620729673
2004.0,500.0,32.224135525581545,59.781876735129835
2004.0,600.0,38.501259677394856,60.88976326814514
2004.0,700.0,43.860776342091135,60.655958231579184
2004.0,800.0,47.59019259103555,60.20742391627241
2004.0,900.0,54.67450510945501,61.060116786340664
2004.0,1000.0,57.069231114726584,61.66872429124407
2004.0,1100.0,60.555212458532345,63.17076316110219
