system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_03_26_Andes_MCDS4S5_Yearly_Monthly_2000_03_26,0.00,2000-03-01,6000.0,94.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_27_Andes_MCDS4S5_Yearly_Monthly_2000_03_27,0.00,2000-03-01,6100.0,95.88,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_28_Andes_MCDS4S5_Yearly_Monthly_2000_03_28,0.00,2000-03-01,6200.0,96.30,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_0_Andes_MCDS4S5_Yearly_Monthly_2000_04_0,15.29,2000-04-01,3400.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_1_Andes_MCDS4S5_Yearly_Monthly_2000_04_1,14.68,2000-04-01,3500.0,1.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_2_Andes_MCDS4S5_Yearly_Monthly_2000_04_2,14.58,2000-04-01,3600.0,0.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_3_Andes_MCDS4S5_Yearly_Monthly_2000_04_3,14.71,2000-04-01,3700.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_4_Andes_MCDS4S5_Yearly_Monthly_2000_04_4,14.73,2000-04-01,3800.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_5_Andes_MCDS4S5_Yearly_Monthly_2000_04_5,14.62,2000-04-01,3900.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_6_Andes_MCDS4S5_Yearly_Monthly_2000_04_6,15.01,2000-04-01,4000.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_7_Andes_MCDS4S5_Yearly_Monthly_2000_04_7,15.29,2000-04-01,4100.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_8_Andes_MCDS4S5_Yearly_Monthly_2000_04_8,15.49,2000-04-01,4200.0,0.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_9_Andes_MCDS4S5_Yearly_Monthly_2000_04_9,15.56,2000-04-01,4300.0,1.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_10_Andes_MCDS4S5_Yearly_Monthly_2000_04_10,15.54,2000-04-01,4400.0,0.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_11_Andes_MCDS4S5_Yearly_Monthly_2000_04_11,15.49,2000-04-01,4500.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_12_Andes_MCDS4S5_Yearly_Monthly_2000_04_12,15.36,2000-04-01,4600.0,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_13_Andes_MCDS4S5_Yearly_Monthly_2000_04_13,15.38,2000-04-01,4700.0,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_14_Andes_MCDS4S5_Yearly_Monthly_2000_04_14,15.05,2000-04-01,4800.0,0.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_15_Andes_MCDS4S5_Yearly_Monthly_2000_04_15,14.98,2000-04-01,4900.0,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_16_Andes_MCDS4S5_Yearly_Monthly_2000_04_16,15.25,2000-04-01,5000.0,0.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_17_Andes_MCDS4S5_Yearly_Monthly_2000_04_17,15.14,2000-04-01,5100.0,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_18_Andes_MCDS4S5_Yearly_Monthly_2000_04_18,15.17,2000-04-01,5200.0,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_04_19_Andes_MCDS4S5_Yearly_Monthly_2000_04_19,15.35,2000-04-01,5300.0,0.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
