system:index,CCA,Elevation,Month,SCA,.geo
3_12_3_12,3.90,4800.0,4.0,0.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13_3_13,4.41,4900.0,4.0,1.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14_3_14,4.99,5000.0,4.0,3.72,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15_3_15,5.56,5100.0,4.0,8.18,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16_3_16,6.26,5200.0,4.0,16.70,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_17_3_17,7.02,5300.0,4.0,31.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_18_3_18,7.51,5400.0,4.0,43.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_19_3_19,8.01,5500.0,4.0,56.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20_3_20,8.79,5600.0,4.0,72.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_21_3_21,8.89,5700.0,4.0,81.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_22_3_22,9.36,5800.0,4.0,89.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_23_3_23,10.49,5900.0,4.0,92.56,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_24_3_24,12.30,6000.0,4.0,94.90,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_25_3_25,15.13,6100.0,4.0,96.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_26_3_26,14.42,6200.0,4.0,96.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_27_3_27,12.65,6300.0,4.0,95.58,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4_0,2.09,3600.0,5.0,0.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_4_1,1.63,3700.0,5.0,0.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_4_2,1.56,3800.0,5.0,0.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_4_3,1.45,3900.0,5.0,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_4_4,1.39,4000.0,5.0,0.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_4_5,1.33,4100.0,5.0,0.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_4_6,1.41,4200.0,5.0,1.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_4_7,1.36,4300.0,5.0,0.15,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_4_8,1.62,4400.0,5.0,0.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_4_9,1.90,4500.0,5.0,0.54,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_4_10,2.03,4600.0,5.0,0.66,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_4_11,2.18,4700.0,5.0,0.76,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_12_4_12,2.44,4800.0,5.0,1.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_13_4_13,2.66,4900.0,5.0,1.60,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_14_4_14,2.95,5000.0,5.0,2.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_15_4_15,3.34,5100.0,5.0,6.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_16_4_16,3.72,5200.0,5.0,12.70,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_17_4_17,4.22,5300.0,5.0,24.65,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_18_4_18,4.54,5400.0,5.0,34.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_19_4_19,5.13,5500.0,5.0,48.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20_4_20,5.97,5600.0,5.0,64.58,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_21_4_21,6.21,5700.0,5.0,76.20,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_22_4_22,6.69,5800.0,5.0,87.40,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_23_4_23,6.74,5900.0,5.0,91.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_24_4_24,6.96,6000.0,5.0,96.88,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_25_4_25,7.60,6100.0,5.0,97.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_26_4_26,7.53,6200.0,5.0,98.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_27_4_27,6.02,6300.0,5.0,98.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5_0,0.36,3600.0,6.0,0.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1_5_1,1.12,3700.0,6.0,0.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_2_5_2,1.24,3800.0,6.0,0.18,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_3_5_3,1.23,3900.0,6.0,0.17,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_4_5_4,1.40,4000.0,6.0,0.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5_5_5,1.52,4100.0,6.0,0.59,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_6_5_6,1.63,4200.0,6.0,2.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_7_5_7,1.63,4300.0,6.0,0.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8_5_8,1.74,4400.0,6.0,1.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9_5_9,1.95,4500.0,6.0,1.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_10_5_10,2.13,4600.0,6.0,2.18,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_11_5_11,2.27,4700.0,6.0,2.57,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_12_5_12,2.48,4800.0,6.0,3.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_13_5_13,2.60,4900.0,6.0,3.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_14_5_14,2.76,5000.0,6.0,4.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_15_5_15,3.01,5100.0,6.0,6.88,"{""type"":""MultiPoint"",""coordinates"":[]}"
