Date,Snowline_elev
2015-09-01,278.7371308921787
2015-10-01,396.98952205918266
2015-11-01,574.3050123293056
2015-12-01,627.3067687684596
2016-01-01,752.6660312327485
2016-02-01,677.6969458912807
2016-03-01,668.8556740607213
2016-04-01,426.18560763930964
2016-05-01,406.94871347233334
2016-06-01,256.1560994047057
2016-07-01,224.3193354868482
2016-08-01,273.68709677808573
2016-09-01,407.6951174871686
2016-10-01,476.6117344857809
2016-11-01,600.6866720816064
2016-12-01,603.9305869055917
2017-01-01,615.1691599216919
2017-02-01,593.8643992986745
2017-03-01,628.9282105654692
2017-04-01,506.6668469278425
2017-05-01,211.8613790639514
2017-06-01,139.5121951219512
2017-07-01,280.0
2017-08-01,291.9002662590188
2017-09-01,351.61196143908495
2017-10-01,447.2874219557255
2017-11-01,535.1313220082209
